City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
7,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
14,Honiara,SB,84.69,overcast clouds,-9.4333,159.95,Heritage Park Hotel
19,Faanui,PF,79.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Baiao,BR,75.25,scattered clouds,-2.7906,-49.6717,Hotel Eurosono
23,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Iranshahr,IR,89.94,overcast clouds,27.2025,60.6848,نیک سرشت
29,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
31,Kieta,PG,84.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
33,Morvi,IN,77.88,few clouds,22.8167,70.8333,Mahesh Hotel & Restaurant
35,Shenjiamen,CN,77.43,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
36,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
38,Saint George,US,77.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
45,San Ramon,US,80.92,clear sky,37.7799,-121.978,San Ramon Marriott
54,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
55,San Policarpo,PH,84.36,overcast clouds,12.1791,125.5072,Manong Aklan Resort
57,Ternate,ID,81.28,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
58,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
69,Fare,PF,79.03,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
73,Butaritari,KI,82.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
76,Tres Picos,MX,78.42,scattered clouds,15.8667,-93.5333,Tres picos Chiapas
