City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,84.27,71,1,8.05,clear sky
1,Busselton,AU,-33.65,115.3333,58.08,70,74,14.85,broken clouds
2,Yellowknife,CA,62.456,-114.3525,47.41,99,20,4.0,few clouds
3,Albany,US,42.6001,-73.9662,51.53,88,12,4.45,few clouds
4,Gat,IL,31.61,34.7642,74.08,100,32,4.12,scattered clouds
5,Cape Town,ZA,-33.9258,18.4232,57.27,74,75,4.61,light rain
6,Saskylakh,RU,71.9167,114.0833,21.92,96,93,3.8,overcast clouds
7,Cabo San Lucas,MX,22.8909,-109.9124,85.51,76,1,4.61,clear sky
8,Hermanus,ZA,-34.4187,19.2345,54.9,86,39,11.05,light rain
9,Burnie,AU,-41.0667,145.9167,57.0,93,100,2.68,moderate rain
10,Barrow,US,71.2906,-156.7887,30.22,80,90,18.41,light snow
11,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,8.05,clear sky
12,Rikitea,PF,-23.1203,-134.9692,73.49,69,39,20.38,scattered clouds
13,Bethel,US,41.3712,-73.414,55.81,88,1,0.0,clear sky
14,Honiara,SB,-9.4333,159.95,84.69,76,97,4.41,overcast clouds
15,Valenca,BR,-13.3703,-39.0731,72.61,97,25,2.62,scattered clouds
16,Husavik,IS,66.0449,-17.3389,42.71,98,100,17.92,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,61.48,57,100,7.31,overcast clouds
18,Souillac,MU,-20.5167,57.5167,72.36,78,75,11.5,broken clouds
19,Faanui,PF,-16.4833,-151.75,79.14,73,6,17.45,clear sky
20,Baiao,BR,-2.7906,-49.6717,75.25,87,35,3.15,scattered clouds
21,Bredasdorp,ZA,-34.5322,20.0403,54.28,90,8,8.95,light rain
22,Dikson,RU,73.5069,80.5464,31.59,80,100,19.77,overcast clouds
23,Kapaa,US,22.0752,-159.319,82.72,69,20,1.99,few clouds
24,Vaini,TO,-21.2,-175.2,77.16,83,75,10.36,broken clouds
25,Cherskiy,RU,68.75,161.3,23.95,72,100,11.05,overcast clouds
26,Constitucion,CL,-35.3333,-72.4167,51.24,91,100,3.71,overcast clouds
