City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-09-26 13:31:53,-46.1927,168.8643,30.99,97,9,1.54
1,Hermanus,ZA,2021-09-26 13:31:54,-34.4187,19.2345,63.0,77,70,8.55
2,Port Elizabeth,ZA,2021-09-26 13:31:54,-33.918,25.5701,70.11,68,20,8.05
3,Busselton,AU,2021-09-26 13:31:54,-33.65,115.3333,55.09,93,9,9.89
4,Kodiak,US,2021-09-26 13:31:55,57.79,-152.4072,38.23,94,100,8.99
5,Saint-Philippe,RE,2021-09-26 13:31:55,-21.3585,55.7679,75.22,83,44,14.56
6,Albany,US,2021-09-26 13:31:11,42.6001,-73.9662,62.28,72,69,1.01
7,Carnarvon,AU,2021-09-26 13:31:56,-24.8667,113.6333,66.27,68,40,11.5
8,Ojinaga,MX,2021-09-26 13:31:56,29.5667,-104.4167,72.57,46,1,3.44
9,Cherskiy,RU,2021-09-26 13:31:56,68.75,161.3,31.33,98,100,15.23
10,Saskylakh,RU,2021-09-26 13:31:57,71.9167,114.0833,33.66,98,100,11.21
11,Puerto Ayora,EC,2021-09-26 13:31:57,-0.7393,-90.3518,69.87,88,97,8.41
12,Ushuaia,AR,2021-09-26 13:31:58,-54.8,-68.3,38.86,65,20,6.91
13,Atuona,PF,2021-09-26 13:31:58,-9.8,-139.0333,77.38,75,64,20.29
14,Poykovskiy,RU,2021-09-26 13:31:58,61.2333,73.3333,39.49,75,0,4.47
15,Chuy,UY,2021-09-26 13:31:59,-33.6971,-53.4616,67.15,66,33,1.52
16,Port Alfred,ZA,2021-09-26 13:31:59,-33.5906,26.891,67.96,78,18,9.48
17,Bar Harbor,US,2021-09-26 13:32:00,44.3876,-68.2039,65.53,93,90,3.0
18,Puerto Suarez,BO,2021-09-26 13:32:00,-18.95,-57.8,90.16,40,25,3.44
19,Shingu,JP,2021-09-26 13:32:00,33.7333,135.9833,69.91,94,100,12.37
20,Melilla,ES,2021-09-26 13:32:01,35.2937,-2.9383,84.4,53,0,6.91
21,Rikitea,PF,2021-09-26 13:32:01,-23.1203,-134.9692,73.27,75,19,19.04
22,Victoria,HK,2021-09-26 13:32:02,22.2855,114.1577,86.22,72,83,4.0
23,Westport,US,2021-09-26 13:27:07,41.1415,-73.3579,67.8,77,1,1.01
24,Kalaleh,IR,2021-09-26 13:32:02,37.3807,55.4916,64.0,100,90,9.22
25,Te Anau,NZ,2021-09-26 13:32:03,-45.4167,167.7167,32.22,90,42,1.45
26,Udachnyy,RU,2021-09-26 13:32:03,66.4167,112.4,30.49,65,4,7.85
27,Punta Arenas,CL,2021-09-26 13:27:30,-53.15,-70.9167,40.48,65,16,11.36
28,Chapais,CA,2021-09-26 13:32:04,49.7834,-74.8492,49.78,83,100,3.69
29,Poum,NC,2021-09-26 13:32:04,-20.2333,164.0167,71.26,73,100,7.09
30,Turukhansk,RU,2021-09-26 13:32:05,65.8167,87.9833,36.25,84,7,8.12
31,Keflavik,IS,2021-09-26 13:32:05,64.0049,-22.5624,44.51,81,90,28.77
32,Bluff,NZ,2021-09-26 13:32:06,-46.6,168.3333,40.19,71,29,4.25
33,Castro,BR,2021-09-26 13:32:06,-24.7911,-50.0119,80.26,42,0,4.76
34,Kendari,ID,2021-09-26 13:32:07,-3.945,122.4989,76.01,88,90,3.22
35,Kharhial,IN,2021-09-26 13:32:07,20.2833,82.7667,76.86,91,100,5.66
36,Nanortalik,GL,2021-09-26 13:32:08,60.1432,-45.2371,39.52,62,7,5.66
37,Verkhnetulomskiy,RU,2021-09-26 13:32:08,68.6073,31.7962,50.13,86,96,4.76
38,College,US,2021-09-26 13:32:08,64.8569,-147.8028,31.95,92,90,0.0
39,Kapaa,US,2021-09-26 13:32:09,22.0752,-159.319,77.32,83,75,1.99
40,Pevek,RU,2021-09-26 13:32:09,69.7008,170.3133,30.85,93,100,13.44
41,Arraial Do Cabo,BR,2021-09-26 13:32:09,-22.9661,-42.0278,76.96,65,0,12.66
42,Tuatapere,NZ,2021-09-26 13:32:10,-46.1333,167.6833,35.1,87,50,4.45
43,Biak,ID,2021-09-26 13:32:11,-0.9131,122.8766,76.1,74,100,4.43
44,Innisfail,AU,2021-09-26 13:32:12,-17.5333,146.0333,67.86,88,33,3.36
45,East London,ZA,2021-09-26 13:32:12,-33.0153,27.9116,70.74,68,20,9.22
46,Tezu,IN,2021-09-26 13:32:13,27.9167,96.1667,78.44,79,13,5.23
47,Sao Joao Da Barra,BR,2021-09-26 13:32:13,-21.6403,-41.0511,78.89,65,24,17.11
48,Kuldur,RU,2021-09-26 13:32:14,49.2167,131.6333,47.95,85,100,2.42
49,Samaipata,BO,2021-09-26 13:32:14,-18.15,-63.8667,73.38,37,0,8.21
50,Marystown,CA,2021-09-26 13:32:15,47.1666,-55.1483,57.85,100,98,3.0
51,Surt,LY,2021-09-26 13:32:15,31.2089,16.5887,78.4,56,0,11.72
52,Tuktoyaktuk,CA,2021-09-26 13:32:16,69.4541,-133.0374,32.0,100,90,13.8
53,Leningradskiy,RU,2021-09-26 13:32:16,69.3833,178.4167,23.95,89,99,7.9
54,Vaini,TO,2021-09-26 13:32:16,-21.2,-175.2,66.36,100,75,5.75
55,Bilma,NE,2021-09-26 13:32:17,18.6853,12.9164,98.82,12,0,8.55
56,Cleethorpes,GB,2021-09-26 13:32:17,53.5605,-0.0323,71.98,47,100,14.7
57,Cockburn Town,TC,2021-09-26 13:27:51,21.4612,-71.1419,82.24,73,0,4.52
58,Rocha,UY,2021-09-26 13:32:18,-34.4833,-54.3333,68.45,62,0,3.29
59,Hobart,AU,2021-09-26 13:32:18,-42.8794,147.3294,44.06,84,20,1.01
60,Meulaboh,ID,2021-09-26 13:32:19,4.1363,96.1285,74.3,95,100,5.66
61,Cabedelo,BR,2021-09-26 13:32:19,-6.9811,-34.8339,84.87,72,75,18.95
62,Haverfordwest,GB,2021-09-26 13:32:20,51.8017,-4.9691,66.16,85,59,5.99
63,Hilo,US,2021-09-26 13:32:20,19.7297,-155.09,76.28,89,20,5.75
64,Nouadhibou,MR,2021-09-26 13:32:21,20.931,-17.0347,84.18,58,20,11.5
65,Mar Del Plata,AR,2021-09-26 13:29:49,-38.0023,-57.5575,65.12,70,20,13.0
66,Barra Do Garcas,BR,2021-09-26 13:32:21,-15.89,-52.2567,82.98,57,20,9.22
67,Angoram,PG,2021-09-26 13:32:22,-4.0625,144.0661,74.19,99,50,0.69
68,Nevelsk,RU,2021-09-26 13:32:22,46.6733,141.8633,43.23,90,10,7.25
69,Klaksvik,FO,2021-09-26 13:32:23,62.2266,-6.589,52.72,95,100,25.57
70,Tiarei,PF,2021-09-26 13:32:23,-17.5333,-149.3333,78.82,81,15,13.53
71,Olga,RU,2021-09-26 13:32:23,43.7444,135.2892,59.16,92,99,2.46
72,Nara,JP,2021-09-26 13:32:24,34.6851,135.8049,69.08,72,79,7.2
73,Brae,GB,2021-09-26 13:32:24,60.3964,-1.353,57.11,94,94,22.75
74,Airai,TL,2021-09-26 13:32:25,-8.9266,125.4092,59.79,91,93,1.7
75,Ponta Do Sol,PT,2021-09-26 13:32:25,32.6667,-17.1,78.71,63,97,4.12
76,Qaanaaq,GL,2021-09-26 13:32:26,77.484,-69.3632,18.68,68,23,6.87
77,Zhigansk,RU,2021-09-26 13:32:26,66.7697,123.3711,32.2,81,5,12.48
78,Nikolskoye,RU,2021-09-26 13:32:27,59.7035,30.7861,53.4,78,51,8.43
79,Bengkulu,ID,2021-09-26 13:32:27,-3.8004,102.2655,75.78,89,100,2.66
80,Limulunga,ZM,2021-09-26 13:32:27,-15.0969,23.1376,95.99,7,0,5.66
81,Cape Town,ZA,2021-09-26 13:32:28,-33.9258,18.4232,72.27,58,0,5.75
82,Ahipara,NZ,2021-09-26 13:32:28,-35.1667,173.1667,53.08,83,97,7.16
83,Ilulissat,GL,2021-09-26 13:32:29,69.2167,-51.1,19.42,49,0,5.75
84,Severo-Yeniseyskiy,RU,2021-09-26 13:32:29,60.3725,93.0408,33.53,97,100,6.71
85,Inuvik,CA,2021-09-26 13:32:29,68.3499,-133.7218,31.21,97,90,8.05
86,Fort Dodge,US,2021-09-26 13:30:59,42.4975,-94.168,62.42,72,1,9.22
87,Guerrero Negro,MX,2021-09-26 13:32:30,27.9769,-114.0611,68.52,80,0,12.06
88,Luanda,AO,2021-09-26 13:31:17,-8.8368,13.2343,78.8,73,20,10.36
89,Cozumel,MX,2021-09-26 13:32:30,20.5083,-86.9458,84.99,84,75,5.01
90,Tiksi,RU,2021-09-26 13:32:31,71.6872,128.8694,34.56,97,100,16.91
91,Bethel,US,2021-09-26 13:32:32,41.3712,-73.414,65.98,77,40,1.99
92,Muromtsevo,RU,2021-09-26 13:32:32,56.3724,75.2418,37.18,78,100,5.64
93,Thompson,CA,2021-09-26 13:32:32,55.7435,-97.8558,35.76,100,40,0.0
94,Bubaque,GW,2021-09-26 13:32:33,11.2833,-15.8333,83.08,73,83,4.81
95,Tonj,SS,2021-09-26 13:32:33,7.2737,28.6822,83.64,62,37,1.32
96,Port Said,EG,2021-09-26 13:32:34,31.2565,32.2841,80.58,65,40,10.36
97,Dingle,PH,2021-09-26 13:32:34,10.9995,122.6711,77.74,89,87,1.72
98,Clyde River,CA,2021-09-26 13:32:35,70.4692,-68.5914,27.91,83,20,6.4
99,Norman Wells,CA,2021-09-26 13:32:35,65.282,-126.8329,30.24,86,75,6.91
100,Makakilo City,US,2021-09-26 13:32:35,21.3469,-158.0858,77.32,78,1,3.44
101,Khandbari,NP,2021-09-26 13:32:36,27.3747,87.2039,71.71,84,89,2.89
102,Corbelia,BR,2021-09-26 13:32:36,-24.7989,-53.3067,79.95,37,74,7.92
103,Terbuny,RU,2021-09-26 13:32:36,52.1389,38.2789,49.06,79,80,16.15
104,Jamestown,US,2021-09-26 13:30:41,42.097,-79.2353,57.52,63,1,8.99
105,Miri,MY,2021-09-26 13:32:37,4.4148,114.0089,80.74,89,40,2.3
106,Hamilton,US,2021-09-26 13:30:16,39.1834,-84.5333,58.98,84,40,1.01
107,Severodvinsk,RU,2021-09-26 13:32:37,64.5635,39.8302,53.71,87,100,3.36
108,Melo,UY,2021-09-26 13:32:38,-32.3667,-54.1833,66.88,70,0,3.51
109,Goderich,CA,2021-09-26 13:30:13,43.7501,-81.7165,59.32,72,50,10.36
110,Aripuana,BR,2021-09-26 13:32:38,-9.1667,-60.6333,94.39,40,9,2.44
111,Mizdah,LY,2021-09-26 13:32:39,31.4451,12.9801,88.16,19,86,9.26
112,Sao Filipe,CV,2021-09-26 13:32:39,14.8961,-24.4956,79.45,76,86,5.28
113,Lompoc,US,2021-09-26 13:28:02,34.6391,-120.4579,59.13,91,90,0.0
114,Kangaatsiaq,GL,2021-09-26 13:32:40,68.3065,-53.4641,23.32,58,6,10.38
115,Tucuman,AR,2021-09-26 13:32:40,-26.8241,-65.2226,78.8,34,0,6.91
116,Chokurdakh,RU,2021-09-26 13:32:41,70.6333,147.9167,32.4,97,100,19.82
117,Torbay,CA,2021-09-26 13:32:41,47.6666,-52.7314,59.77,71,75,11.5
118,Tshikapa,CD,2021-09-26 13:32:41,-6.4167,20.8,91.71,36,66,6.55
119,Laguna,US,2021-09-26 13:32:42,38.421,-121.4238,65.64,85,1,1.99
120,South River,US,2021-09-26 13:30:32,40.4465,-74.386,66.27,72,0,4.0
121,Sungaipenuh,ID,2021-09-26 13:32:42,-2.0833,101.3833,66.38,98,100,0.6
122,Celendin,PE,2021-09-26 13:32:43,-6.8703,-78.1517,63.12,59,92,3.31
123,Harbour Breton,CA,2021-09-26 13:32:43,47.4833,-55.7983,57.99,88,100,12.95
124,Krasnoselkup,RU,2021-09-26 13:32:44,65.7,82.4667,34.92,82,6,8.32
125,Tazmalt,DZ,2021-09-26 13:32:45,36.3868,4.3989,97.21,19,19,2.06
126,Highland,US,2021-09-26 13:32:45,34.1283,-117.2086,71.58,80,40,4.61
127,Khorixas,NA,2021-09-26 13:32:46,-20.3667,14.9667,98.46,7,0,7.52
128,Sassandra,CI,2021-09-26 13:32:46,4.95,-6.0833,73.67,98,99,3.62
129,Nizhniy Tsasuchey,RU,2021-09-26 13:32:47,50.5167,115.1333,40.41,69,7,10.67
130,Kalmunai,LK,2021-09-26 13:32:47,7.4167,81.8167,84.22,72,98,6.53
131,Bonthe,SL,2021-09-26 13:32:48,7.5264,-12.505,80.4,80,94,10.29
132,Butaritari,KI,2021-09-26 13:32:48,3.0707,172.7902,83.1,76,85,16.28
133,Cidreira,BR,2021-09-26 13:32:48,-30.1811,-50.2056,70.12,71,0,6.64
134,Katima Mulilo,NA,2021-09-26 13:32:49,-17.5,24.2667,94.59,8,0,7.83
135,Sitio Novo Do Tocantins,BR,2021-09-26 13:32:49,-5.5183,-47.4611,84.13,74,75,2.3
136,Faanui,PF,2021-09-26 13:32:50,-16.4833,-151.75,78.35,78,1,12.73
137,Zaysan,KZ,2021-09-26 13:32:50,47.4667,84.8667,45.86,32,31,5.48
138,Kavieng,PG,2021-09-26 13:32:50,-2.5744,150.7967,81.66,82,100,11.65
139,Esperance,AU,2021-09-26 13:32:51,-33.8667,121.9,57.04,83,81,10.83
140,Hithadhoo,MV,2021-09-26 13:32:51,-0.6,73.0833,82.47,74,64,17.0
141,Naze,JP,2021-09-26 13:32:52,28.3667,129.4833,77.68,84,28,12.12
142,Mount Isa,AU,2021-09-26 13:32:52,-20.7333,139.5,76.77,14,0,8.05
143,Abdanan,IR,2021-09-26 13:32:53,32.9926,47.4198,87.62,12,0,4.7
144,Gidam,IN,2021-09-26 13:32:53,18.9833,81.4,74.07,95,100,2.08
145,Mahanoro,MG,2021-09-26 13:32:53,-19.9,48.8,73.47,69,8,6.08
146,Barrow,US,2021-09-26 13:32:54,71.2906,-156.7887,21.22,86,75,0.0
147,Lebu,CL,2021-09-26 13:32:54,-37.6167,-73.65,50.43,67,12,14.54
148,Kuminskiy,RU,2021-09-26 13:32:55,58.6667,66.5667,36.91,73,83,6.51
149,Natal,BR,2021-09-26 13:29:57,-5.795,-35.2094,88.45,89,75,21.85
150,Bislig,PH,2021-09-26 13:32:55,8.2167,126.2833,74.43,97,96,3.27
151,Upernavik,GL,2021-09-26 13:32:56,72.7868,-56.1549,23.7,64,9,4.43
152,Georgetown,MY,2021-09-26 13:32:56,5.4112,100.3354,78.89,94,40,1.99
153,Nabire,ID,2021-09-26 13:32:56,-3.3667,135.4833,76.82,90,53,3.06
154,Yermish,RU,2021-09-26 13:32:57,54.7678,42.2711,50.76,89,94,4.45
155,Sidney,AU,2021-09-26 13:32:36,-33.8679,151.2073,54.7,81,75,1.01
156,Shirokiy,RU,2021-09-26 13:32:57,49.758,129.523,51.08,79,81,7.87
157,Vila Franca Do Campo,PT,2021-09-26 13:32:58,37.7167,-25.4333,75.2,69,100,2.98
158,Cap Malheureux,MU,2021-09-26 13:32:58,-19.9842,57.6142,73.89,75,2,8.99
159,Pisco,PE,2021-09-26 13:32:59,-13.7,-76.2167,61.02,88,90,3.44
160,Yellowknife,CA,2021-09-26 13:32:17,62.456,-114.3525,36.41,100,75,1.01
161,Bereda,ES,2021-09-26 13:32:59,43.2686,-7.5406,69.42,69,100,7.0
162,Ayan,RU,2021-09-26 13:33:00,56.45,138.1667,46.58,58,3,9.89
163,Los Llanos De Aridane,ES,2021-09-26 13:33:00,28.6585,-17.9182,74.95,77,75,6.91
164,Paracuru,BR,2021-09-26 13:33:00,-3.41,-39.0306,84.22,53,12,17.58
165,Bredasdorp,ZA,2021-09-26 13:33:01,-34.5322,20.0403,65.52,63,93,5.75
166,Cabo San Lucas,MX,2021-09-26 13:33:01,22.8909,-109.9124,82.51,84,28,4.41
167,Lagoa,PT,2021-09-26 13:33:02,39.05,-27.9833,67.19,81,72,28.77
168,Camacha,PT,2021-09-26 13:33:02,33.0833,-16.3333,74.53,64,20,10.36
169,Tatishchevo,RU,2021-09-26 13:33:02,51.6703,45.5953,51.49,94,100,5.88
170,Pandan,PH,2021-09-26 13:33:03,14.0453,124.1694,82.11,84,100,5.06
171,Praia Da Vitoria,PT,2021-09-26 13:33:03,38.7333,-27.0667,71.76,88,75,18.3
172,Severomuysk,RU,2021-09-26 13:33:03,56.1481,113.4267,27.64,98,100,5.57
173,Japura,ID,2021-09-26 13:33:04,-0.3167,102.35,74.26,98,99,1.12
174,Marawi,PH,2021-09-26 13:33:04,7.9986,124.2928,67.64,90,100,3.22
175,Souillac,MU,2021-09-26 13:33:05,-20.5167,57.5167,73.78,83,75,13.8
176,Marsaxlokk,MT,2021-09-26 13:33:05,35.8419,14.5431,83.08,54,0,9.22
177,Ust-Maya,RU,2021-09-26 13:33:05,60.4167,134.5333,33.26,90,56,1.79
178,Vardo,NO,2021-09-26 13:30:50,70.3705,31.1107,47.21,85,94,9.1
179,Ganzhou,CN,2021-09-26 13:33:06,28.8184,115.4327,83.16,67,49,2.86
180,Khatanga,RU,2021-09-26 13:33:07,71.9667,102.5,33.3,84,100,8.14
181,Gamba,GA,2021-09-26 13:33:07,-2.65,10.0,79.65,74,93,10.45
182,General Jose Eduvigis Diaz,PY,2021-09-26 13:33:07,-27.1667,-58.4167,78.06,35,0,6.73
183,Keuruu,FI,2021-09-26 13:33:08,62.2667,24.7,57.56,57,17,3.74
184,Kuragino,RU,2021-09-26 13:33:08,53.8975,92.6725,36.59,89,56,6.08
185,Urumqi,CN,2021-09-26 13:33:09,43.801,87.6005,58.15,27,0,2.24
186,Bisoca,RO,2021-09-26 13:33:09,45.5333,26.7,62.83,39,0,6.2
187,Marzuq,YE,2021-09-26 13:33:09,14.4,46.4667,91.26,13,8,13.44
188,Saldanha,ZA,2021-09-26 13:33:10,-33.0117,17.9442,75.25,78,6,15.95
189,San Quintin,MX,2021-09-26 13:33:10,30.4833,-115.95,66.67,80,100,7.87
190,Leshukonskoye,RU,2021-09-26 13:33:11,64.8989,45.7622,46.71,96,100,3.98
191,Wilmington,US,2021-09-26 13:33:11,34.2257,-77.9447,69.94,72,1,5.75
192,Tomatlan,MX,2021-09-26 13:33:11,19.9333,-105.25,75.63,87,96,3.31
193,Olinda,BR,2021-09-26 13:33:12,-8.0089,-34.8553,80.33,65,75,16.11
194,Kaitangata,NZ,2021-09-26 13:33:12,-46.2817,169.8464,34.2,91,19,5.21
195,Aljezur,PT,2021-09-26 13:33:13,37.3191,-8.8033,73.26,54,100,8.77
196,Kailua,US,2021-09-26 13:33:13,21.4022,-157.7394,78.78,72,75,12.66
197,Ostrovnoy,RU,2021-09-26 13:33:14,68.0531,39.5131,47.59,88,100,7.05
198,Hengshui,CN,2021-09-26 13:33:14,37.7322,115.7011,64.9,98,100,6.42
199,Kapit,MY,2021-09-26 13:33:14,2.0167,112.9333,75.43,97,100,0.74
200,Simao,CN,2021-09-26 13:33:15,22.7886,100.9748,63.91,93,38,2.06
201,Baruun-Urt,MN,2021-09-26 13:33:15,46.6806,113.2792,46.76,45,0,14.23
202,Itarema,BR,2021-09-26 13:33:16,-2.9248,-39.9167,89.4,52,96,19.46
203,Huaihua,CN,2021-09-26 13:33:16,27.5494,109.9592,81.75,59,46,0.96
204,Killybegs,IE,2021-09-26 13:33:16,54.6333,-8.45,53.31,91,100,7.0
205,Soyo,AO,2021-09-26 13:33:17,-6.1349,12.3689,84.25,75,65,9.84
206,San Isidro,PE,2021-09-26 13:33:17,-12.1167,-77.05,60.26,85,90,1.99
207,Vao,NC,2021-09-26 13:33:18,-22.6667,167.4833,68.11,66,90,6.78
